epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1755.51,0.64518,5.51095,0.4851,0.86058,1.12391,0.70791,0.71908,0.81037,0.45563,0.95947,0.06667,0.06516,0.00652,1.7445,5.48366,0.54056,1.33629,2.40469,0.000272375,0.000272375,0.000272375
81,1776.64,0.66395,5.43506,0.54933,0.93488,1.12849,0.70791,0.71908,0.81037,0.45563,0.95947,0.06667,0.06516,0.00652,1.7445,5.48366,0.54056,1.33629,2.40469,0.00026,0.00026,0.00026
82,1798.46,0.69832,5.77978,0.51381,0.98971,1.09224,0.6505,0.81161,0.7847,0.43395,0.95104,0.06667,0.06516,0.00652,1.72306,5.46617,0.53536,1.40235,2.31233,0.000247625,0.000247625,0.000247625
83,1820.18,0.75141,5.54084,0.46525,1.10237,1.14565,0.74607,0.55305,0.7737,0.43161,0.69229,0.31111,0.25698,0.03222,1.70613,5.47155,0.52928,1.5809,2.19122,0.00023525,0.00023525,0.00023525
84,1841.01,0.65469,5.67235,0.50359,0.99749,1.07848,0.74264,0.44444,0.70417,0.38683,0.64273,0.31111,0.36656,0.04317,1.67073,5.44927,0.52179,1.78041,2.11375,0.000222875,0.000222875,0.000222875
85,1860.82,0.69383,5.63271,0.55668,0.96119,1.16061,0.74264,0.44444,0.70417,0.38683,0.64273,0.31111,0.36656,0.04317,1.67073,5.44927,0.52179,1.78041,2.11375,0.0002105,0.0002105,0.0002105
86,1880.54,0.72578,5.94437,0.54155,1.04303,1.21255,0.74121,0.44444,0.69028,0.37987,0.64137,0.31111,0.20561,0.02708,1.63894,5.34832,0.52124,1.87482,2.07144,0.000198125,0.000198125,0.000198125
87,1902.11,0.74064,5.92676,0.49762,1.07194,1.17661,0.7563,0.44444,0.72131,0.3971,0.52591,0.2,0.31071,0.04158,1.60239,5.32838,0.51718,1.89618,2.04884,0.00018575,0.00018575,0.00018575
88,1923.77,0.70523,5.60118,0.52483,1.00647,1.15571,0.78017,0.44444,0.72131,0.41145,0.66498,0.31111,0.36661,0.05584,1.54956,5.2679,0.51355,1.84071,2.03252,0.000173375,0.000173375,0.000173375
89,1944.73,0.73231,5.66816,0.5069,1.01341,1.18593,0.78017,0.44444,0.72131,0.41145,0.66498,0.31111,0.36661,0.05584,1.54956,5.2679,0.51355,1.84071,2.03252,0.000161,0.000161,0.000161
90,1965.58,0.68869,5.44726,0.53942,1.07615,1.18193,0.79428,0.44444,0.72131,0.41343,0.61445,0.24444,0.31329,0.04919,1.52691,5.26545,0.51439,1.82125,2.04667,0.000148625,0.000148625,0.000148625
91,2014.84,0.77726,5.27058,0.34897,1.10001,1.13736,0.75994,0.53325,0.76611,0.47874,0.62214,0.24444,0.31326,0.05706,1.51656,5.28657,0.51249,1.70456,2.11691,0.00013625,0.00013625,0.00013625
92,2035.72,0.75247,5.07267,0.3423,1.07246,1.09894,0.82339,0.45888,0.81433,0.53001,0.62567,0.24444,0.3758,0.0441,1.53188,5.3335,0.51138,1.59379,2.23836,0.000123875,0.000123875,0.000123875
93,2056.28,0.72598,5.01619,0.36579,1.07108,1.10085,0.82339,0.45888,0.81433,0.53001,0.62567,0.24444,0.3758,0.0441,1.53188,5.3335,0.51138,1.59379,2.23836,0.0001115,0.0001115,0.0001115
94,2077.11,0.80161,5.07189,0.34176,1.09948,1.18975,0.82322,0.4642,0.79529,0.52158,0.58289,0.17778,0.34233,0.04075,1.54838,5.34664,0.50972,1.5187,2.3356,9.9125e-05,9.9125e-05,9.9125e-05
95,2096.88,0.68027,5.04256,0.34735,1.00662,1.0499,0.73982,0.55118,0.77544,0.50524,0.59972,0.17778,0.34227,0.04074,1.56813,5.38103,0.50771,1.51504,2.36814,8.675e-05,8.675e-05,8.675e-05
96,2118.51,0.76529,4.95673,0.35608,1.11794,1.09468,0.8232,0.44444,0.75182,0.49106,0.69467,0.31111,0.42235,0.04875,1.57037,5.35117,0.51221,1.58603,2.35404,7.4375e-05,7.4375e-05,7.4375e-05
97,2140.9,0.74083,5.14717,0.34622,1.04666,1.02797,0.8232,0.44444,0.75182,0.49106,0.69467,0.31111,0.42235,0.04875,1.57037,5.35117,0.51221,1.58603,2.35404,6.2e-05,6.2e-05,6.2e-05
98,2164.27,0.76969,5.02781,0.35574,1.13963,1.08073,0.86166,0.44444,0.7575,0.49049,0.60774,0.17778,0.34226,0.05728,1.57619,5.30535,0.51416,1.64802,2.33207,4.9625e-05,4.9625e-05,4.9625e-05
99,2185.83,0.74695,5.04441,0.34645,1.096,1.00692,0.87359,0.44444,0.75116,0.49105,0.6194,0.17778,0.34226,0.05728,1.58483,5.26485,0.51602,1.69212,2.32722,3.725e-05,3.725e-05,3.725e-05
100,2208.56,0.81651,4.9546,0.33543,1.03195,1.08158,0.85863,0.44444,0.7427,0.47885,0.60494,0.17778,0.34232,0.07383,1.59367,5.23208,0.51522,1.72412,2.312,2.4875e-05,2.4875e-05,2.4875e-05
